RPT_TREATMENT_ID,ORGAN_ID,CLASS1,CLASS2,CLASS3,DISP_NAME,LOCAL_DISP_NAME,SINGULAR,LOCAL_SINGULAR
15150,1019,1000133558,0,0,Device,Thiết bị,Device,Thiết bị
15151,1019,1000133589,2,0,Coagrasper,Coagrasper,Coagrasper,Coagrasper
15152,1019,1000133589,1,0,Bipolar probe,Đầu dò lưỡng cực,Bipolar probe,Đầu dò lưỡng cực
15153,1019,1000133589,0,0,Device,Thiết bị,Device,Thiết bị
15154,1019,1000133558,2,0,Coagrasper,Coagrasper,Coagrasper,Coagrasper
15155,1019,1000133558,1,0,Bipolar probe,Đầu dò lưỡng cực,Bipolar probe,Đầu dò lưỡng cực
15156,1019,3,0,0,Result,Kết quả,Result,Kết quả
15157,1019,22,2,0,Failure,Thất bại,Failure,Thất bại
15158,1019,22,1,0,Success,Thành công,Success,Thành công
15159,1019,22,0,0,Result,Kết quả,Result,Kết quả
15160,1019,6,2,0,Failure,Thất bại,Failure,Thất bại
15161,1019,6,1,0,Success,Thành công,Success,Thành công
15162,1019,6,0,0,Result,Kết quả,Result,Kết quả
15163,1019,3,2,0,Failure,Thất bại,Failure,Thất bại
15164,1019,3,1,0,Success,Thành công,Success,Thành công
15165,1019,26,5,0,Clip,Clip,Clip,Clip
15166,1019,26,4,0,Endoloop,Endoloop,Endoloop,Endoloop
15167,1019,26,3,0,Hot snare,Vòng cắt nóng,Hot snare,Vòng cắt nóng
15168,1019,26,2,0,Cold snare,Vòng cắt lạnh,Cold snare,Vòng cắt lạnh
15169,1019,26,1,0,Biopsy forceps,Kẹp sinh thiết,Biopsy forceps,Kẹp sinh thiết
15170,1019,26,0,0,Method,Phương pháp,Method,Phương pháp
15171,1019,31,0,0,Pre-injection,Trước tiêm,Pre-injection,Trước tiêm
15172,1019,31,1,0,No,Không ,No,Không 
15173,1019,31,2,0,Yes,Có,Yes,Có
15174,1019,35,0,0,Pre-injection fluid,Chất lỏng trước khi tiêm,Pre-injection fluid,Chất lỏng trước khi tiêm
15175,1019,35,1,0,[Free_Text],[Free_Text], $ , $ 
15176,1019,39,0,0,pre-injection volume,Thể tích trước khi tiêm,pre-injection volume,Thể tích trước khi tiêm
15177,1019,39,1,0, [Free_Text]  ml,[Free_Text] mm,$ ml,$ ml
15178,1019,44,0,0,Result,Kết quả,Result,Kết quả
15179,1019,44,1,0,Success,Thành công,Success,Thành công
15180,1019,44,2,0,Failure,Thất bại,Failure,Thất bại
15181,1019,46,0,0,Protective device,Protective device,Protective device,Protective device
15182,1019,49,4,0,overtube,Overtube,overtube,Overtube
15183,1019,49,3,0,transparent cap,Nắp trong suốt,transparent cap,Nắp trong suốt
15184,1019,49,2,0,rubber hood,Hood cao su,rubber hood,Hood cao su
15185,1019,49,1,0,No,Không ,No,Không 
15186,1019,49,0,0,Protective device,Protective device,Protective device,Protective device
15187,1019,46,4,0,overtube,Overtube,overtube,Overtube
15188,1019,46,3,0,transparent cap,Nắp trong suốt,transparent cap,Nắp trong suốt
15189,1019,46,2,0,rubber hood,Hood cao su,rubber hood,Hood cao su
15190,1019,46,1,0,No,Không ,No,Không 
15191,1019,53,0,0,Retrieval device,Thiết bị thu hồi,Retrieval device,Thiết bị thu hồi
15192,1019,56,2,0,retrieval grasper,Dụng cụ kẹp thu hồi,retrieval grasper,Dụng cụ kẹp thu hồi
15193,1019,56,3,0,snare,Vòng cắt,snare,Vòng cắt
15194,1019,56,4,0,basket,Rọ,basket,Rọ
15195,1019,56,5,0,Roth Net,Roth Net,Roth Net,Roth Net
15196,1019,56,1,0,grasping forceps,Forcep kẹp,grasping forceps,Forcep kẹp
15197,1019,56,0,0,Retrieval device,Thiết bị thu hồi,Retrieval device,Thiết bị thu hồi
15198,1019,53,1,0,grasping forceps,Forcep kẹp,grasping forceps,Forcep kẹp
15199,1019,53,2,0,retrieval grasper,Dụng cụ kẹp thu hồi,retrieval grasper,Dụng cụ kẹp thu hồi
15200,1019,53,3,0,snare,Vòng cắt,snare,Vòng cắt
15201,1019,53,4,0,basket,Rọ,basket,Rọ
15202,1019,53,5,0,Roth Net,Roth Net,Roth Net,Roth Net
15203,1019,59,0,0,Result,Kết quả,Result,Kết quả
15204,1019,63,2,0,Failure,Thất bại,Failure,Thất bại
15205,1019,63,1,0,Success,Thành công,Success,Thành công
15206,1019,63,0,0,Result,Kết quả,Result,Kết quả
15207,1019,59,2,0,Failure,Thất bại,Failure,Thất bại
15208,1019,59,1,0,Success,Thành công,Success,Thành công
15209,1019,73,2,0,cold snare,Vòng cắt lạnh,cold snare,Vòng cắt lạnh
15210,1019,73,3,0,banding,Băng ,banding,Băng 
15211,1019,73,1,0,hot snare,Vòng cắt nóng,hot snare,Vòng cắt nóng
15212,1019,77,0,0,Tool,Dụng cụ,Tool,Dụng cụ
15213,1019,77,1,0,hot snare,Vòng cắt nóng,hot snare,Vòng cắt nóng
15214,1019,77,2,0,cold snare,Vòng cắt lạnh,cold snare,Vòng cắt lạnh
15215,1019,77,3,0,banding,Băng ,banding,Băng 
15216,1019,73,0,0,Tool,Dụng cụ,Tool,Dụng cụ
15217,1019,68,0,0,Tool,Dụng cụ,Tool,Dụng cụ
15218,1019,68,1,0,hot snare,Vòng cắt nóng,hot snare,Vòng cắt nóng
15219,1019,68,2,0,cold snare,Vòng cắt lạnh,cold snare,Vòng cắt lạnh
15220,1019,68,3,0,banding,Băng ,banding,Băng 
15221,1019,91,1,0,[Free_Text],[Free_Text], $ , $ 
15222,1019,91,0,0,Pre-injection fluid,Chất lỏng trước khi tiêm,Pre-injection fluid,Chất lỏng trước khi tiêm
15223,1019,86,1,0,[Free_Text],[Free_Text], $ , $ 
15224,1019,86,0,0,Pre-injection fluid,Chất lỏng trước khi tiêm,Pre-injection fluid,Chất lỏng trước khi tiêm
15225,1019,82,1,0,[Free_Text],[Free_Text], $ , $ 
15226,1019,82,0,0,Pre-injection fluid,Chất lỏng trước khi tiêm,Pre-injection fluid,Chất lỏng trước khi tiêm
15227,1019,104,1,0, [Free_Text]  ml,[Free_Text] mm,$ ml,$ ml
15228,1019,104,0,0,pre-injection volume,Thể tích trước khi tiêm,pre-injection volume,Thể tích trước khi tiêm
15229,1019,99,1,0, [Free_Text]  ml,[Free_Text] mm,$ ml,$ ml
15230,1019,99,0,0,pre-injection volume,Thể tích trước khi tiêm,pre-injection volume,Thể tích trước khi tiêm
15231,1019,95,1,0, [Free_Text]  ml,[Free_Text] mm,$ ml,$ ml
15232,1019,95,0,0,pre-injection volume,Thể tích trước khi tiêm,pre-injection volume,Thể tích trước khi tiêm
15233,1019,202,2,0,complete piece-meal resection,Hoàn thành cắt bỏ mảnh vụn,complete piece-meal resection,Hoàn thành cắt bỏ mảnh vụn
15234,1019,202,3,0,partial resection,Cắt bỏ một phần,partial resection,Cắt bỏ một phần
15235,1019,202,4,0,failure,Thất bại,failure,Thất bại
